Program ISN,﻿Program #,Task,Name,Operation #,Variable,Variable Name
62,,".2.1.1.2","Bestaand voorschot updaten",10,"OO","IP_REKENINGMUNTSOORT"
62,,".2.1.1.2","Bestaand voorschot updaten",11,"OP","IP_VOORSCHOT_UITGEKEERD"
62,,".2.1.1.2","Bestaand voorschot updaten",3,"OH","IP_INTERMEDIAR"
62,,".2.1.1.2","Bestaand voorschot updaten",4,"OI","IP_AFHANDELINGSDATUM"
62,,".2.1.1.2","Bestaand voorschot updaten",5,"OJ","IP_PROVISIE_SOORT"
62,,".2.1.1.2","Bestaand voorschot updaten",6,"OK","IP_RELATIE"
62,,".2.1.1.2","Bestaand voorschot updaten",7,"OL","IP_REFERENTIEDATUM"
62,,".2.1.1.2","Bestaand voorschot updaten",8,"OM","IP_REKENINGNUMMER"
62,,".2.1.1.2","Bestaand voorschot updaten",9,"ON","IP_REKENINGSOORT"
