 Program ISN,﻿Program #,Task,Name,Type
603980257,,".4","Nabewerking Dietz/Mnd Rendemnt","Sort"
603980257,,".1","AccountSelection","Sort"
603980257,,".1.5.1","PositionPerMonth/Period","Sort"
603980370,,".1.1.8","ChartData","Sort"
603980370,,".1.1.9","ProfielCheck","Sort"
603980374,,".1","Rekeningen per product","Range : v_StrategieProfielInRange?"
603980381,,".3","Schrijf rapport","Sort"
603980386,,".2","Schrijf rapport","Sort"
603980386,,".3","Bijwerken vastrentend","Sort"
603980378,,"","SUB-Vullen Benchmark details","Sort"
603980396,,".1.2","ReportAnnualCosts","Sort"
603980398,,".2.1","MifidCategories","Sort"
603980398,,".2.2.1","RequiredResult","Sort"
603980407,,".1","Totals","Sort"
603980407,,".3","WritePortfolioXML","Sort"
603980408,,".1.1","WriteHistory","Sort"
603980410,,"","MaintainQRAPHeader","Sort"
637534919,,".3","ProcesModel","Sort"
1006633672,,".2.1","readDatesFromMessage","Sort"
471859982,,"","CALC-Waarde port./rekening","Range : v_SALDO_POSITIE<>0 OR LV<>''"
239076115,,".1","AccountSelection","Sort"
239076115,,".1.3.1","PositionPerMonth/Period","Sort"
239076115,,".2","PostProcessing","Sort"
239076115,,".2.1","Weging/Gem.vermogen/Resultaat","Sort"
239076115,,".2.2","Weging gem.verm/Gew. rendement","Sort"
239076115,,".4","PostProcess Dietz/Mnd Totals","Sort"
239076115,,".6","ProduceReportAmounts","Sort"
239076122,,"","SUB-PostProcessModifiedDietz","Sort"
603980322,,".1","MapTypes","Range : IN(LO,51,52,59,62)"
603980390,,"","SUB-TotalDividend/Interest","Sort"
603980400,,".1","Bepaal valutas","Sort"
603980401,,".1.2","Doorloop MT_Werkbestand","Sort"
479200040,,".1.1","CollectData","Sort"
479200041,,".1.1","Details","Sort"
