Program ISN,﻿Program #,Task,Name,Table #,Table Name
889,,".1","Initialize",Comp.,"D5P.setMifidTestResultsResponse"
889,,"","SetMifidTestResults",Comp.,"D5P.setMifidTestResultsRequest"
890,,".1","initialize",Comp.,"D5P.getMifidTestResultsResponse"
890,,"","GetMifidTestResults",Comp.,"D5P.getMifidTestResultsRequest"
893,,".2","SelectMifidCategories",Comp.,"D5P.gmrs.Party"
893,,".2","SelectMifidCategories",Comp.,"D5P.gmrs.MifidCategories"
893,,".1","CreateRequest",Comp.,"D5P.getMifidTestResultsRequest"
893,,".2","SelectMifidCategories",Comp.,"D5P.gmrs.Parties"
