Program ISN,﻿Program #,Task,Name,Task Level,Operation #,Call Task/Prg,Arg #,Variable
949,,".1","Onderhoud Calculation rules","Event : Rule_CodeNaarId",43,T# 18,1,"pi-_CFCU_Code_CNI"
949,,".1","Onderhoud Calculation rules","Event : Rule_IdNaarCode",39,T# 18,2,"pi-_CFCU_Id_INC"
952,,"","MNU-RelatieBlokkeringsoorten","Event : GC.GC_Edit",22,T# 1,2,"BIJ"
952,,"","MNU-RelatieBlokkeringsoorten","Event : GC.GC_Details",19,T# 1,2,"BIJ"
958,,".1.3","modifyOrCreatePlan","Record Suffix",25,P# 962,7,"v_Amount"
977,,".1","LoopActivePlan","Record Suffix",45,P# 962,11,"PEPL_FIRST_DEPOSIT_MONTH_ThisYe"
977,,".1","LoopActivePlan","Record Suffix",45,P# 962,5,"PEPL_FREQUENCY_ThisYear"
977,,".1","LoopActivePlan","Record Suffix",45,P# 962,6,"PEPL_DEPOSIT_DAY_ThisYear"
977,,".1","LoopActivePlan","Record Suffix",45,P# 962,7,"v_AmountNew"
977,,".1","LoopActivePlan","Record Suffix",73,P# 962,5,"PEPL_FREQUENCY_LastYear"
977,,".1","LoopActivePlan","Record Suffix",73,P# 962,6,"PEPL_DEPOSIT_DAY_LastYear"
977,,".1","LoopActivePlan","Record Suffix",73,P# 962,7,"v_AmountNew"
998,,".1","getRequest","Record Suffix",22,P# 499,1,"BOY"
1014,,".3","Free Deposit","Event : CreateDeposit",11,P# 919,7,"BLW"
1014,,".3","Free Deposit","Event : CreateDeposit",11,P# 919,8,"BLV"
1014,,".3","Free Deposit","Event : CreateDeposit",11,P# 919,6,"BLY"
1014,,".3","Free Deposit","Event : CreateDeposit",11,P# 919,4,"BLZ"
1014,,".3","Free Deposit","Event : CreateDeposit",11,P# 919,5,"BLX"
1044,,".1","GetPosition","Record Suffix",2,P# 1500513534,13,"PPR_PRODUCTNUMMER"
1044,,".1","GetPosition","Record Suffix",2,P# 1500513534,14,"PPR_VOLGNR_PER_PRODUCT"
1045,,".1.3","Authorize","Record Suffix",12,P# 962,11,"PEPL_FIRST_DEPOSIT_MONTH"
1045,,".1.3","Authorize","Record Suffix",12,P# 962,5,"PEPL_FREQUENCY"
1045,,".1.3","Authorize","Record Suffix",12,P# 962,6,"PEPL_DEPOSIT_DAY"
1045,,".1.3","Authorize","Record Suffix",12,P# 962,7,"PEPL_AMOUNT"
1442841703,,"","screenProductBlobSettings","Event : getProductBlobSettings",26,T# 1,2,"BRE"
536872058,,"","screenProdConfigBuildView","Record Suffix",18,T# 2,2,"BOJ"
