ProgramIsn,Tasknum,Taskname,WhereClause
444,".9","HistOrders VIA Relatie","((ORDHISORDERS.HORD_VIADEPOT=pi-_Rekeningnr AND ORDHISORDERS.HORD_VIADEPOTREKSRT=pi-_RekSoort AND pi-_RekSoort<1000) OR (ORDHISORDERS.HORD_VIAGELDREKENING=pi-_Rekeningnr AND ORDHISORDERS.HORD_VIAGLDREKREKSRT=pi-_RekSoort AND ORDHISORDERS.HORD_VIAGELDREKVAL=pi-_Muntsoort AND pi-_RekSoort>=1000)) AND rownum<=1"
444,".10","HistOrdersDetaillering","((ORDHISDETAILLERING.HORX_DEPOT=pi-_Rekeningnr AND ORDHISDETAILLERING.HORX_DEPOTREKSOORT=pi-_RekSoort AND pi-_RekSoort<1000) OR (ORDHISDETAILLERING.HORX_GELDREKENING=pi-_Rekeningnr AND ORDHISDETAILLERING.HORX_GELDREKREKSOORT=pi-_RekSoort AND ORDHISDETAILLERING.HORX_GELDREKVALUTA=pi-_Muntsoort AND pi-_RekSoort>=1000)) AND rownum<=1"
444,".11","Fx-contracten REL 1","rownum<=1"
444,".12","Fx-contracten REL 2","rownum<=1"
444,".14","REVISIE_HEADER : DEPOT","rownum<=1"
444,".15","REVISIE_HEADER : GELDREK","rownum<=1"
444,".16","HIST_REVISIE_HEADER : DEPOT","rownum<=1"
444,".17","HIST_REVISIE_HEADER : GELDREK","rownum<=1"
444,".18","BEL.OPDR_HEADER : DEPOT","rownum<=1"
444,".19","BEL.OPDR_HEADER : GELDREK","rownum<=1"
444,".20","BEL.OPDR_HEADER : GELDREK O-G","rownum<=1"
444,".21","HIST_BEL.OPDR_HEADER : DEPOT","rownum<=1"
444,".22","HIST_BEL.OPDR_HEADER : GELDREK","rownum<=1"
444,".23","HIST_BEL.OPDR_HEADER: GELD O-G","rownum<=1"
444,".24","PERIOD_BEL_OPDRACHT_HDR: DEPOT","rownum<=1"
444,".25","PERIOD_BEL_OPDRACHT_H: GELDREK","rownum<=1"
444,".26","PERIOD_BEL_OPDRACHT_H: GLD O-G","rownum<=1"
444,".27","BV_BETALINGEN_OUT : BTO_D_RE_ID","rownum<=1"
444,".28","BV_BETALINGEN_OUT : BTO_C_RE_ID","rownum<=1"
445,".1","Rekeningen","rownum<=1"
445,".2","Rekeningen H_Comp","rownum<=1"
445,".3","Rekeningen T_Comp","rownum<=1"
445,".4","BeleggInstr BeursTegenpartij","rownum<=1"
445,".5","Clienten RefRelatie","rownum<=1"
445,".6","Clienten VruchtGebruik","rownum<=1"
445,".7","Clienten Bewaarloon betaler","rownum<=1"
445,".8","EmissieTypes TegenRelatie","rownum<=1"
445,".9","Verzend clienten Zendnr","rownum<=1"
445,".10","Doorbel.Clientgeg. HoofdClient","rownum<=1"
445,".11","RekeningGroepen","rownum<=1"
445,".12","Emissies Client","rownum<=1"
445,".13","Transactieprofiel per relatie","rownum<=1"
445,".14","Keuzedividend","rownum<=1"
458,".1","Controle Relatie Selectie","(pi-_Eigen/Alle relatie User(0)<>3 or CLIENTGROEP_VIEW.CGV_ADVISEUR is not NULL) and rownum=1"
459,".1","Controle Adviseur Selectie","rownum=1"
460,".1","Controle Relcat Selectie","rownum=1"
461,".1","Controle Rekening Selectie","rownum=1"
462,".1","Controle Rek.srt. Selectie","rownum<=1"
463,".1","Controle Afdeling Selectie","rownum=1"
464,".1","Controle Clgroep Selectie","rownum=1"
465,".1","Controle Product Selectie","rownum=1"
466,".1","Controle RekGroep Selectie","rownum=1"
475,".1.4.1","Aktuele positie","rownum <= 1"
475,".1.4.2","REL Transactie","rownum <= 1"
475,".1.5","Zoek ref relaties","CLIENTEN.CL_REFRELATIE<>CLIENTEN.CL_NUMMER AND rownum<=1"
475,".4.1","Relatie per product","rownum<=1"
483,".1","Check stukken in cover","AKTUELE_POSITIES_VW.AP_IN_COVER<>0 and rownum=1"
483,".2","Check stukken in collateral","AKTUELE_POSITIES_VW.AP_IN_COLLATERAL<>0 and rownum=1"
486,".1","OP Record Aanwezig?","rownum <=1"
486,".1.1","Openstaande OP Aanwezig?","rownum<=1 AND (OPENSTAANDE_POSTEN.OP_AANTAL<>0 or OPENSTAANDE_POSTEN.OP_BEDRAG<>0)"
488,".1","Positie?","AKTUELE_POSITIES_VW.AP_SALDO_POSITIE<>0  AND rownum<=1"
488,".1.2","Relatie is Vruchtrelatie?","VRUCHTGEBR_OPBRENGST.VO_RELATIE<>pi-_Relatienr.  AND rownum<=1"
523,".1","Controle Relatie Selectie","rownum=1"
523,".3.1","Controle cl groep Selectie","rownum=1"
532,".2","Niet doorgeboekte transacties?","INTERMEDIAR_PROVISIES.IP_INTERMEDIAR<>v_Nieuwe IntermediairnrProvisie and INTERMEDIAR_PROVISIES.IP_TRANSACITIEVOLGNR<>0 and NOT (TRANSAKTIES.TR_MUT_GEMAAKT='S') and rownum <=1"
558,".1.1","ExterneRekeningAls IBAN","PR_EXT_ACC_CONNECTIONS.EACC_ACCOUNT_NR like v_RekeningZonderPMetVoorloopNul and rownum<=1"
575,"","RM_SUB-CheckHolderActiveProd","rownum <=1"
582,".2","CheckIntermediary","(PRODUCTEN_PER_RELATIE.PPR_INTERMEDIAIR_1=INTERMEDIAIR_MEDEWERKER.IMW_RELATIENUMMER OR PRODUCTEN_PER_RELATIE.PPR_INTERMEDIAIR_2=INTERMEDIAIR_MEDEWERKER.IMW_RELATIENUMMER) AND ROWNUM<=1"
657,".1.1","Check Landen","rownum<=1"
660,".1","Gegevens in range","rownum<=1"
661,".1.1","Check Intermediairs","rownum<=1 and (INTERMEDIAIRS.IME_REMINDERSCHEMA_VOOR=TP_REMINDERSCHEMA_HEADER.TRH_SCHEMANR or INTERMEDIAIRS.IME_REMINDERSCHEMA_NA=TP_REMINDERSCHEMA_HEADER.TRH_SCHEMANR)"
676,".1","Check ranges","rownum<=1"
714,".2.1","Relaties in KG?","ROWNUM<=1"
753,".1.2.1","Zoek in rekening","rownum<=1"
753,".1.2.2","Zoek in def rekening","rownum<=1"
754,".1.1.1","Doorlopen rekening","rownum<=1"
754,".1.1.2","Doorlopen rekening default","rownum<=1"
899,"","SUB-CheckActiveProd","rownum <=1"
1082,"","FUNC-CheckBPSPendingOrder","BPS_PROGRESS.STATUS <> 3 and BPS_PROGRESS_STATUS.STATUS_TYPE <> 2 and  rownum =1"
