Program ISN,﻿Program #,Task,Name,Operation #,Link,Table #,Table Name,Condition
249,,".2.2","Portefeuille overzicht",49,"L.O.Join",Comp.,"D4.FONDSEN_PER_PRODUCT","HJ"
425,,".1.5.3","Bepaal Posities",31,"I.Join",Comp.,"D4.FONDSEN_PER_PRODUCT","EW=1"
581,,".1.2","Calculation",21,"L.O.Join",Comp.,"D5.KW_FINANCIEEL_PRODUCT","HT<>KE"
741,,".1","Build XML",18,"I.Join",Comp.,"D1.WWW_PROD_PER_ADVISORGROUP","EV<>0"
160,,".3.1.1","Doorloop VIA_DETAIL",21,"L.O.Join",Comp.,"D2.LANDEN","DN=3 OR DN=2 AND IN(DO,11,12)"
160,,".3.1.1","Doorloop VIA_DETAIL",16,"I.Join",Comp.,"D3.BELEGGINGSINSTRUMENT","DN=3 OR DN=2 AND IN(DO,11,12)"
151,,".1","Build XML",14,"I.Join",Comp.,"D1.WWW_PROD_PER_ADVISORGROUP","IN(L,'Z','A') AND EF <>0"
352,,".2","Toegestane tegenrekeningen",9,"L.O.Join",Comp.,"D5.REKENING_SOORTEN","ES='I'"
