Program ISN,Program #,Task,Name,Expr #,Expression
1,,"","Main Program",8,"Len(VarCurr(VarInp(0)))=22"
368,,".1","Fondsidentificatie",3,"RTrim(v_Identificatie)&Fill(' ',Len(v_Identificatie)-Len(RTrim(v_Identificatie)))"
368,,".1","Fondsidentificatie",4,"RTrim(v_Identificatie)&Fill('z',Len(v_Identificatie)-Len(RTrim(v_Identificatie)))"
368,,".1.1","Count aantal records",2,"RTrim(v_Identificatie)&Fill(' ',Len(v_Identificatie)-Len(RTrim(v_Identificatie)))"
368,,".1.1","Count aantal records",3,"RTrim(v_Identificatie)&Fill('z',Len(v_Identificatie)-Len(RTrim(v_Identificatie)))"
368,,".2","Zoekstring",10,"IF (Left (v_Zoekstring,1)='*',Fill ('z',Len (v_Zoekstring)),RTrim (v_Zoekstring)&Fill ('z',Len (v_Zoekstring)))"
368,,".2","Zoekstring",9,"IF (Left (v_Zoekstring,1)='*',Fill (' ',Len (v_Zoekstring)),RTrim (v_Zoekstring)&Fill (' ',Len (v_Zoekstring)))"
409,,"","RAPP-BIC-codes",6,"IF (v_Vanaf BIC-code<>'',v_Vanaf BIC-code,Fill ('Z',Len (v_BIC-code T/m)))"
