Help #,Help Name,
721,"Browse - TR_O_TRANSREQ",
722,"Browse - SR_O_STORNOREQ",
723,"Browse - RR_O_RECALCREQ",
724,"Browse - DRA_RAPPORTAGEMO",
725,"Browse - DRA_POS_VERHUIZE",
726,"Browse - VERHUIZINGEN",
727,"Browse - FA_MODULE_INSTEL",
728,"Browse - FA_EXPORT_SOORTE",
729,"Browse - PL_INSTELLINGEN",
730,"Browse - PL_BEGINSTANDEN",
731,"Browse - PL_EINDSTANDEN",
732,"Browse - PL_MUTATIEBESTAN",
733,"Browse - TRANS_PROFIEL_TA",
734,"Browse - TRANS_PROFIEL_RE",
735,"Browse - RISICO_INDICATIE",
736,"Browse - DOEL_CLIENT",
737,"Browse - BELEGGINGSPROFIE",
738,"Browse - GROEILIJN_PERCEN",
739,"Browse - RELATIE_HIST_GRO",
740,"Browse - CLEARING_SETTING",
741,"Browse - CLEARING_TUSSENR",
742,"Browse - VW_CLEARING_MATC",
743,"Browse - VW_CLEARING_UNMA",
744,"Browse - CLEARING_TRADES",
745,"Browse - TRADE_LEG_CREATI",
746,"Browse - TRADE_LEG_MODIFI",
747,"Browse - TRADE_LEG_DELETI",
748,"Browse - TRADEMATCHING_EF",
749,"Browse - C21_TRADE_LEG_RE",
750,"Browse - CII_ONBEKEND_BER",
751,"Browse - PR3_HEADER",
752,"Browse - PR3_DETAIL",
753,"Browse - PR3_PREVIOUS_DAY",
754,"Browse - PR3_RESUME_DAY",
755,"Browse - MODULE_INSTEL_SE",
756,"Browse - SETTLBATCHES_HEA",
757,"Browse - SETTLBATCHES_DET",
758,"Browse - SETTL_INST_BEWPL",
759,"Browse - SWIFT_REKENINGEN",
760,"Browse - SW_SETT_AFSPR_HE",
761,"Browse - SW_SETT_AFSPR_DE",
762,"Browse - SWIFT_DYNAM_INST",
763,"Browse - SWIFT_HEADER",
764,"Browse - SWIFT_DETAIL",
765,"Browse - SWIFT_BIC_CODES",
766,"Browse - SWIFT_BATCH",
767,"Browse - SWIFT_TYPE_CONTR",
768,"Browse - SWIFT_DEFAULT_TE",
769,"Browse - SWIFT_ISO_LAND",
770,"Browse - SWIFT_ISO_BEINCO",
771,"Browse - SWIFT_RELATIE",
772,"Browse - SWIFT_BANK",
773,"Browse - SWIFT_BEVESTIGIN",
774,"Browse - SW_WERKBESTAND",
775,"Browse - SWIFT_TABELGEGEV",
776,"Browse - SW_FONDSOMSCHRIJ",
777,"Browse - SWIFT_HEADER_HIS",
778,"Browse - SWIFT_DETAIL_HIS",
779,"Browse - SWIFT_BIC_MT_ONT",
780,"Browse - SW_TEMP_BERICHTE",
781,"Browse - SW_TEMP_IMPORT_C",
782,"Browse - SW_TEMP_IMPORT_C",
783,"Browse - SW_TEMP_IMPORT_F",
784,"Browse - SW_TEMP_IMPORT_H",
785,"Browse - SW_TEMP_IMPORT_A",
786,"Browse - INTERMEDIAIR_GRO",
787,"Browse - ARRANGEMENT_PROV",
788,"Browse - ARRANGEMENT_PROV",
789,"Browse - PRODUCTEN",
790,"Browse - PRODUCTEN_PER_RE",
791,"Browse - REKENINGEN_PER_P",
792,"Browse - TOEP_RELATIES",
793,"Browse - TOEP_REKENINGEN",
794,"Browse - TOEP_GELDREKENIN",
795,"Browse - TOEP_VERZENDADRE",
796,"Browse - TOEP_DELETEADRES",
797,"Browse - TOEP_BETALINGEN",
798,"Browse - TOEP_BIJZONDERE_",
799,"Browse - TOEP_UITVOERINGE",
800,"Browse - TOEP_UITKERINGEN",
801,"Browse - TOEP_SCHADECLAIM",
802,"Browse - TOEP_GELDBOEKING",
803,"Browse - TOEP_OBLIGOMARGI",
804,"Browse - TOEP_TEKORTEN",
805,"Browse - TOEP_SERVICEKOST",
806,"Browse - TOEP_UITVOERINGB",
807,"Browse - TOEP_FONDSEN",
808,"Browse - TOEP_FONDSENKLEV",
809,"Browse - EPTO_HIST_WAARDE",
810,"Browse - EPTO_TRANSACTIES",
811,"Browse - EPTO_TRANSGELDBL",
812,"Browse - EPTO_TRANSSTUKBL",
813,"Browse - EPTO_TRANSKOSTEN",
814,"Browse - TOEP_DELETEUITKE",
815,"Browse - RIS_HEADER",
816,"Browse - RIS_KREDIETMAXIM",
817,"Browse - RIS_PORTEFEUILLE",
818,"Browse - RIS_TRANSACTIES",
819,"Browse - RIS_WAARDEOPGAVE",
820,"Browse - VERMOGENSOVERZIC",
821,"Browse - WERKTABEL_KEUZED",
822,"Browse - CR_RAPP_INSTELLI",
823,"Browse - BL_LEGEREGELS",
824,"Browse - PERF_RAPPORT_ODB",
825,"Browse - KA_MUTATIETYPES",
826,"Browse - KA_EFFOVB_IMPORT",
827,"Browse - KA_VDD_IMPORT",
828,"Browse - KA_EFBVOF_IMPORT",
829,"Browse - KA_FNDSTT_FNDSTX",
830,"Browse - KA_DISTRI_IMPORT",
831,"Browse - KA_DISREL_IMPORT",
832,"Browse - KA_FIATRI_IMPORT",
833,"Browse - KA_FIAREL_IMPORT",
834,"Browse - KA_FIAREK_IMPORT",
835,"Browse - KA_OPTDDS_IMPORT",
836,"Browse - KA_OPTEAR_IMPORT",
837,"Browse - KA_OPTSSC_IMPORT",
838,"Browse - KA_OPTEXP_IMPORT",
839,"Browse - KA_OPTDPR_IMPORT",
840,"Browse - KA_OPTDMR_IMPORT",
841,"Browse - KA_OPTDSS_IMPORT",
842,"Browse - KA_OPTSER_IMPORT",
843,"Browse - KA_FUTDTR_IMPORT",
844,"Browse - KA_FUTIMR_IMPORT",
845,"Browse - KA_EFFOVB_EXPORT",
846,"Browse - KA_VASTE_GEGEVEN",
847,"Browse - KA_GLDSTD_EXPORT",
848,"Browse - KA_DECK_BESTANDE",
849,"Browse - KA_VALUTA_CODES",
850,"Browse - KA_OTTMUT_IMPORT",
851,"Browse - KA_OTTPOS_IMPORT",
852,"Browse - TRADEMATCHING",
853,"Browse - KA_SCHADUW_DEPOT",
854,"Browse - PORTMUT_BATCH_HE",
855,"Browse - KA_EIGEN_REKENIN",
856,"Browse - KA_GLDMUT_TRIPAR",
857,"Browse - KA_EFFSTD_INSTEL",
858,"Browse - KA_EFFSTD_EXPORT",
859,"Browse - PORTMT_BATCH_DET",
860,"Browse - KA_RDSNOT_NEW_IM",
861,"Browse - KA_RP100D_IMPORT",
862,"Browse - KA_RP101D_IMPORT",
863,"Browse - KA_RP118D_IMPORT",
864,"Browse - KA_RP119D_IMPORT",
865,"Browse - US_GEBRUIKERS",
866,"Browse - GP_GROEPEN",
867,"Browse - RT_RECHTEN",
868,"Browse - RM_RECHTMODULECO",
869,"Browse - PMR_POPUPMENURIG",
870,"Browse - KEY_INVENTARISAT",
871,"Browse - SL_SECURITY_LOG",
872,"Browse - PL_PRINTER_LOG",
873,"Browse - UG_USERGROUPS",
874,"Browse - UR_USERRIGHTS",
875,"Browse - GR_GROUPRIGHTS",
876,"Browse - AMI_AMINSTELLING",
877,"Browse - HUS_GEBRUIKERS",
878,"Browse - HGP_GROEPEN",
879,"Browse - HRT_RECHTEN",
880,"Browse - HUG_USERGROEPEN",
881,"Browse - HUR_USERRECHTEN",
882,"Browse - HGR_GROEPRECHTEN",
883,"Browse - UUS_GEBRUIKERS",
884,"Browse - UGP_GROEPEN",
885,"Browse - URT_RECHTEN",
886,"Browse - UUG_USERGROEPEN",
887,"Browse - UUR_USERRECHTEN",
888,"Browse - UGR_GROEPRECHTEN",
889,"Browse - TELEKURS_FONDS_C",
890,"Browse - STUKIDENTIFICATI",
891,"Browse - KOPPEL_TKCODES_B",
892,"Browse - TELEKURS_HXD",
893,"Browse - TELEKURS_FAD",
894,"Browse - TELEKURS_FZD",
895,"Browse - TELEKURS_FTD",
896,"Browse - TELEKURS_IAD",
897,"Browse - REFRESH_RELATIES",
898,"Browse - REFRESH_GELDREKE",
899,"Browse - RATINGS",
900,"Browse - FONDSSET",
901,"Browse - INDEX_PER_FONDS",
902,"Browse - INDICES_PER_BEUR",
903,"Browse - WEGINGSFAC_RATIN",
904,"Browse - INTERNE_RATING_W",
905,"Browse - DERIVATIVE_TRANS",
906,"Browse - STOCKS_TRANSACTI",
907,"Browse - DERIVATIVE_POSIT",
908,"Browse - STOCKS_POSITIONS",
909,"Browse - VERTALINGSTEKSTE",
910,"Browse - VERTALINGEN",
911,"Browse - STANDAARDTEKSTEN",
912,"Browse - MIS_TRANSACTIES",
913,"Browse - MIS_POSITIES",
914,"Browse - MIS_INSTR_STAND_",
915,"Browse - OVERSTAND_TELLER",
916,"Browse - MIS_OVERZICHT",
917,"Browse - RIPRO_OVERZICHT",
918,"Browse - I_O_KANALEN",
919,"Browse - DC_TABELGEGEVENS",
920,"Browse - GEBRUIKERS",
921,"Browse - SYSTEEMGEGEVENS",
922,"Browse - VERWERKINGEN",
923,"Browse - VERWERKINGPARS",
924,"Browse - MAILBOXEN",
925,"Browse - VERWERKINGPARWAA",
926,"Browse - STAPPARS",
927,"Browse - PROCESSEN",
928,"Browse - PROCESSTAPPEN",
929,"Browse - PROCESSTAPPARWAA",
930,"Browse - AUTORISATIES",
931,"Browse - BOODSCHAPPEN",
932,"Browse - LOGBOEK",
933,"Browse - DC_PRINTERS",
934,"Browse - STAPPEN",
935,"Browse - MAIL_DATA",
936,"Browse - STORTING_INTERME",
937,"Browse - INTERMEDIAR_PROV",
938,"Browse - BRANCHES",
939,"Browse - BRANCHEGROEP",
940,"Browse - BRANCHES_IN_GROE",
941,"Browse - MENU",
942,"Browse - MENUSTRUCTUUR",
943,"Browse - PROGRAMLIST",
944,"Browse - REQUEST_FOR_TRAN",
945,"Browse - REQUEST_FOR_TRAN",
946,"Browse - REQUEST_FOR_TRAN",
947,"Browse - CONFIRMATION_OF_",
948,"Browse - QUERIES",
949,"Browse - FREE_FORMAT_MESS",
950,"Browse - EXTERNE_CODES",
951,"Browse - PERIODIEKE_OPDRA",
952,"Browse - REVISIE_HEADER",
953,"Browse - REVISIE_DETAIL",
954,"Browse - HEADER_MODELPORT",
955,"Browse - HEADER_PROFIEL",
956,"Browse - BERICHTEN",
957,"Browse - VELDEN",
958,"Browse - VELDENPICTURES",
959,"Browse - BLOKKEN",
960,"Browse - MESSAGEOPBOUW",
961,"Browse - QUALIFIERWAARDE",
962,"Browse - DATAWAARDEN",
963,"Browse - ISSUERWAARDEN",
964,"Browse - TOEGESTANE_CHARS",
965,"Browse - ISSUERZOOM",
966,"Browse - VELDFUNCTIES",
967,"Browse - VELDFUOMSCHRIJVI",
968,"Browse - BERICHTEN_KLANTE",
969,"Browse - FS_INSTELLINGEN",
970,"Browse - FT_TEMPLATES",
971,"Browse - FP_PLANNING",
972,"Browse - FAP_AANVRAAG_OBV",
973,"Browse - FV_VALUTAS",
974,"Browse - FM_FONDS_MATCHIN",
975,"Browse - FO_OPGETREDEN_FO",
976,"Browse - FV_VALORENNUMMER",
977,"Browse - FF_FOUTOMSCHRIJV",
978,"Browse - OP_OP_TE_VRAGEN_",
979,"Browse - OF_OP_TE_VRAGEN_",
980,"Browse - FAF_AANVRAAG_OBV",
981,"Browse - PRODUCTCONVERSIE",
982,"Browse - PRODUCTCONVERSIE",
983,"Browse - PRODUCTCONVERSIE",
984,"Browse - PRODUCTCONVERSIE",
985,"Browse - PRODUCTCONVERSIE",
986,"Browse - PRODUCTCONVERSIE",
987,"Browse - CP_GECOMPENSEERD",
988,"Browse - EK_EFFCT_KREDT_B",
989,"Browse - HP_HOOFDREK_NA_P",
990,"Browse - NB_NIET_BEREKEND",
991,"Browse - SR_SCHAALTAR_REN",
992,"Browse - CR_COMPENSATIE_R",
993,"Browse - AT_AFSPRAAK_TABE",
994,"Browse - RT_RAPPORT_TOTAL",
995,"Browse - VS_VALUTAIR_SALD",
996,"Browse - ST_SCHAALTARIEF_",
997,"Browse - GROUPS",
998,"Browse - SECURITY_PARAMET",
999,"Browse - USER_PASSWORDS",
1000,"Browse - USER_ASSIGNED_TO",
1001,"Browse - GROUP_SECURITY",
1002,"Browse - LOGGING",
1003,"Browse - INFORMATIE_HEADE",
1004,"Browse - CASHDIVIDENDINFO",
1005,"Browse - OVERIGECORP_ACT_",
1006,"Browse - TEKSTBESTANDPERD",
1007,"Browse - VALORSELECTIE",
1008,"Browse - USER_HISTOGRAMS",
1009,"Browse - USER_TABLES",
1010,"Browse - USER_TAB_COLUMNS",
1011,"Browse - NLS_SESSION_PARA",
1012,"Browse - LOCKS",
1013,"Browse - USER_TRIGGERS",
1014,"Browse - VW_MUTATIELOG_KE",
1015,"Browse - MUTATIELOG_OMSCH",
1016,"Browse - TABLES",
1017,"Browse - MENUS_EIB",
1018,"Browse - PROGRAMS_EIB",
1019,"Browse - EXTERNALKEYTABLE",
1020,"Browse - TRANSLATIONS_TAB",
1021,"Browse - WWW_TEMPLATES",
1022,"Browse - LISTBOXEN",
1023,"Browse - ORDER_STATUSES",
1024,"Browse - WWWSYSTEMTABLE",
1025,"Browse - WWWSID",
1026,"Browse - WWWLOGGING",
1027,"Browse - WWWUSERS",
1028,"Browse - WWWOPTIONS",
1029,"Browse - WWWUSEROPTIONS",
1030,"Browse - WWWOPTFUTFONDSOW",
1031,"Browse - WWWSEARCHGROUPS",
1032,"Browse - WWWSECURITIESSEA",
1033,"Browse - WWWSECURITIESUSE",
1034,"Browse - WWW_TMP_USEROPTI",
1035,"Browse - WWW_ADVISORS",
1036,"Browse - WWW_MAIN_GROUPS",
1037,"Browse - WWW_TRADINGTOOL_",
1038,"Browse - WWW_TRADINGTOOL_",
1039,"Browse - WWW_TMP_ORDERRUL",
1040,"Browse - WWW_MESSAGEBOARD",
1041,"Browse - WWW_AP_WB_SESSIE",
1042,"Browse - WWW_FVRZ_ORDERS",
1043,"Browse - EIB_VERZORDERS",
1044,"Browse - INTERNET_PERFORM",
1045,"Browse - WWW_USER_MESSAGE",
1046,"Browse - WWW_GENERIC_TEMP",
1047,"Browse - WWW_PROFILES_HEA",
1048,"Browse - WWW_PROFILES_DET",
1049,"BrowseS - WWW_ORDERS",
1050,"BrowseS - WWW_ORDER_DETAI",
1051,"Browse - WWW_ORDERSWORKFI",
1052,"Browse - MESSAGES",
1053,"Browse - ZENDSTATUSBERICH",
1054,"Browse - NIEUWEBERICHTEN",
1055,"Browse - BERICHTENTOEGANG",
1056,"Browse - ZENDSTATUSBERICH",
1057,"Browse - BROKER_STATISTIC",
1058,"Browse - HOST_REQUEST_SUM",
1059,"Browse - REGISTERED_APPLI",
1060,"Browse - REGISTERED_RT",
1061,"Browse - REQUEST_QUEUE",
1062,"Browse - SERVICES_SERVERS",
1063,"Browse - PID_PROCESIDS",
1064,"Browse - ER_ERRORCODES",
1065,"Browse - CN_I_CONNECTIE",
1066,"Browse - BX_BERSRTEXTENSI",
1067,"Browse - MV_MONITORVIEWER",
1068,"Browse - MC_MONITORCONTRO",
1069,"Browse - ST_SETTINGS",
1070,"Browse - EM_ERRORMONITOR",
1071,"Browse - UM_UITVALMONITOR",
1072,"Browse - BBR_BERICHTBRON",
1073,"Browse - BBB_BERICHTBRONB",
1074,"Browse - SO_O_SINGLEORDER",
1075,"Browse - SC_O_SNGLORDCANC",
1076,"Browse - ER_I_EXECUTIONRE",
1077,"Browse - ER_I_EXEC.REP De S1",
1078,"Browse - CR_I_ORDCANCELRE",
1079,"Browse - BR_I_BUSINSMSGRE",
1080,"Browse - FF_I_FREEFORMATT",
1081,"Browse - HG_I_TRADINGSESS",
1082,"Browse - HF_I_SECURITYSTA",
1083,"Browse - OM_O_ORDCANCLREP",
1084,"Browse - CB_I_COMBEXECREP",
1085,"Browse - CC_O_COMBORDCANC",
1086,"Browse - CO_O_COMBIORDERN",
1087,"Browse - CR_I_COMBORDCANC",
1088,"Browse - CM_O_COMBORDCANR",
1089,"Browse - VDF_I_LISTING_DE",
1090,"Browse - VDF_I_INSTRUMENT",
1091,"Browse - VDF_I_INSTITUTIO",
1092,"Browse - TCS_O_DECLARATIO",
1093,"Browse - TCS_O_CANCELLATI",
1094,"Browse - TCS_I_REJECTION_",
1095,"Browse - MAX_MSG_IDS",
1096,"Browse - CIO_SALDOVRZK_SP",
1097,"Browse - CII_SALDOANTW_SP",
1098,"Browse - CIO_GELDBOEK_SPR",
1099,"Browse - CII_NW_DEPOT_SPR",
1100,"Browse - RFR_I_RECEIVEDFI",
1101,"Browse - SFR_O_SENDFILERQ",
1102,"Browse - QR_O_QUOTEREQUES",
1103,"Browse - INKOMEND_NATIVE_",
1104,"Browse - UITGAAND_NATIVE_",
1105,"--Sjabloon",
1106,"DISP-Max. aantal licentie",
1107,"DISP-Ingelogde Gebruikers",
1108,"Gesorteerd op Terminalnr S2",
1109,"Gesorteerd op Application S3",
1110,"Gesorteerd op User S4",
1111,"Sessie in First Rows zett",
1112,"Sessie in Trace zetten",
1113,"INV-Browse Bestanden",
1114,"WIN-Bestanden S2",
1115,"INV-HR_HEADER S3",
1116,"WIN-Berichtsoorten S4",
1117,"Vergelijk standaard prog'",
1118,"Vergelijk standaard prog'",
1119,"Aanroep taken en programm",
1120,"Tonen S1",
1121,"Macro instellen Rights (F",
1122,"Macro instellen Rights (P",
1123,"WIN-BIC-codes",
1124,"WIN-Relaties SWIFT",
1125,"WIN-Rekeningen SWIFT",
1126,"WIN-SWIFT banken nummer",
1127,"STAM-Rel. SUB (Uitkeringsrek)",
1128,"WIN-Modelportefeuille Bel.Giro",
1129,"WIN-Bel.instr. Bel.Giro",
1130,"OND-MP Bel.Giro/Kopiëren",
1131,"OND-Modelportefeuille Bel.Giro",
1132,"OND-MP Bel.Giro/Liq.Middelen",
1133,"OND-MP Bel.Giro Eigen Pos/Rend",
1134,"OND-MP_Bel.Giro Sel. Eigen Pos",
1135,"WIN-Reminderschema's",
1136,"STAM-Rel. SUB (Mailing Adres.)",
1137,"Sub-Mailing Adres (Bijwerken)",
1138,"STAM-Rel. SUB (Corresp2. geg.)",
1139,"WIN-BGS Fondsen per Stichting",
1140,"Zoek op fondsomschrijving",
1141,"RB137 - Tegenrekeningen",
1142,"OA106 - Beursindentificaties",
1143,"OA107 - Relatie/Rekening",
1144,"OA108 - Instructiecodes per MT",
1145,"WIN-Inkomenssoorten",
1146,"-SoortLegitimatie",
1147,"TB233 - Categorieen",
1148,"TB234 - STAM Categorieen",
1149,"TB235 - DISP Categorieen",
1150,"TB236 - RAPP Categorieen",
1151,"RB154 - Holders",
1152,"RB155 - Holders/Controleer Geg",
1153,"OA112 - Royeren Order Vestima",
1154,"RB175 - Onderhoud Tegenrek.",
1155,"RB179 - Product/Intermediairs",
1156,"RB180 - Wijzig Product/Interm.",
1157,"RB181 - Producten/Interm.Hist.",
1158,"PM124 - Datum Verm. Staat",
1159,"RB183 - STAM-Rel Intermediair",
1160,"RB221 - Holders/Controleer Int",
1161,"RB228 - WIN Holders SQL",
1162,"RB229 - ZoekfunctieHolders",
1163,"RB251 - Renteconditie/Gaten",
1164,"PM141 - Scherm Segmenten",
1165,"PM142 - Corrigeren",
1166,"PM143 - Herblokkeren",
1167,"RB262 - Aanmaningen",
1168,"RB267 - Notities",
1169,"RB291- Holder kenmerken",
1170,"RB165 - Zoeken Gegevens",
1171,"RB294 - Tonen actuele renteper",
1172,"RB305 - Holder adressen",
1173,"RB314 - Fiscale status",
1174,"RB318 - Holder tegenrekeningen",
1175,"RB324 - Adres aanmaken",
1176,"RB325 - BEW/SEW rekeningen",
1177,"RB327 - Black- / Whitelist",
1178,"RB328 - Kopieër BWList",
1179,"RB329 - Creditor Id",
1180,"RB330 - Gen/Wijzig Creditor Id",
1181,"RB334 - (Mede-)holder Toesten",
1182,"RB336 - Identificaties",
1183,"RB340 - Hypotheken",
1184,"TA115 - WIN Storno reden",
1185,"TA116 - Storno reden invoer",
1186,"RB344 - PartyToParty",
1187,"RB345 - PartyToPartyHolder",
1188,"PM176 - Trans. specificatie",
1189,"GA138 - CTRL+O Achterstanden",
1190,"HELAAS - Geen Help Beschikbaar",
1191,"Onderhoud helpaanroep S1",
1192,"Toon helpregistratie S4",
1193,"Geen EUL meer beschikbaar S4",
1194,"EuroPort User License Lis S5",
1195,"PR-Printer keuze",
1196,"POP Rel/Zoekn (CTRL+W  AP",
1197,"Fonds Div. Codes (CTRL+F",
1198,"Fondsidentificatie S1",
1199,"Toon resultaat S2",
1200,"Zoekstring S3",
1201,"Toon resultaat S4",
1202,"Instellingen S1",
1203,"Herhalend S2",
1204,"WIN-BatchServers",
1205,"WIN-BatchOpdrachten",
1206,"WIN-ProcesInstellingen",
1207,"WIN-Externe Fondsenstaatc",
1208,"WIN-Item(Kostencomp) Code",
1209,"WIN-Bankgegevens",
1210,"WIN-Beleggingsinstrumente",
1211,"Zoek op Fondsomschrijving S1",
1212,"WIN-Beleggingsinstrumentt",
1213,"WIN-Beleggingsadviseurs",
1214,"WIN-Beurzen",
1215,"WIN-Bewaarloontabellen",
1216,"WIN-BTW",
1217,"WIN-Clientgroepen",
1218,"WIN-Courtage",
1219,"Toekenningen S1",
1220,"Uitkeringen S2",
1221,"WIN-Doorbelastingstabelle",
1222,"WIN-Emissietypes",
1223,"WIN-Futures",
1224,"WIN-Belastingverdrag Groe",
1225,"WIN-Grootboekrekeningen",
1226,"WIN-Batches",
1227,"WIN-Nachtprocedures",
1228,"WIN-Instructiecodes",
1229,"WIN-Instructieteksten",
1230,"WIN-Geldbatches",
1231,"WIN-Muntsoorten",
1232,"WIN-Openstaande nota's",
1233,"WIN-IGS batches",
1234,"WIN-Opties",
1235,"WIN-Regio's",
1236,"Rekeningen- NIET VIA KOPP S1",
1237,"Rekeningen- VIA KOPPELING S2",
1238,"Rekeningen- PRODUCTGROEP S3",
1239,"WIN-Relatiecategorieen",
1240,"Nummer S1",
1241,"Zoeknaam S2",
1242,"Rekening S3",
1243,"Clientgrp / Nummer S4",
1244,"Clientgrp / Zoeknaam S5",
1245,"Clientgrp / Rekening S6",
1246,"LoopRelaties (Nummer) S1",
1247,"LoopRelaties (Alphakey) S2",
1248,3 N S3,"LoopRelatie (eig/alle=3 N S3"=,"=3 N S3",
1249,3 A S4,"LoopRelatie (eig/alle=3 A S4"=,"=3 A S4",
1250,"WIN-Rente afspraken",
1251,"WIN-Renteafspraak",
1252,"Rentestanden S1",
1253,"Display marges S2",
1254,"WIN-Tabelgegevens",
1255,"Transactiesoorten op symb S1",
1256,"Transactiesoorten op numm S2",
1257,"WIN-Wegingsfactoren",
1258,"WIN-Kredietgroepen",
1259,"WIN-Tabelgegevens op symb",
1260,"WIN-Beleggingsinstrumentc",
1261,"WIN-FR coderingen",
1262,"WIN-Rekeninggroepen",
1263,"WIN-Schema's journaalpost",
1264,"WIN-Uitgevende instelling",
1265,"WIN-Landen",
1266,"WIN-Printers",
1267,"WIN-Rekeningsoorten",
1268,"WIN-Beleggingsinstrumentt",
1269,"WIN-Settlementchain",
1270,"Settlement Chain S1",
1271,"WIN-Relatie verwerkingsca",
1272,"WIN-Afdelingen",
1273,"WIN-Printgroepen",
1274,"WIN-Fonds verwerkingscat.",
1275,"WIN-Belastingverdrag",
1276,"WIN-Ticksizetabellen",
1277,"WIN-Renseigneringssoorten",
1278,"WIN-Fiscale nummertypen",
1279,"WIN-Werkbestand checklist",
1280,"WIN-Briefcode",
1281,"WIN-Stuksoorten",
1282,"WIN-Adviesteams/behandela",
1283,"WIN-Aflopende deposito's",
1284,"WIN-Remisiers",
1285,"WIN-Rente schalentabellen",
1286,"WIN-Rekeningen vruchtgebr",
1287,"WIN-Peildata",
1288,"WIN-Belasting verdraggroe",
1289,"WIN-Informatiesoorten",
1290,"WIN-Producten",
1291,"WIN-Producten per relatie",
1292,"WIN-Formulierensoorten",
1293,"WIN-Modelportefeuille",
1294,"WIN-Ordertrajecten",
1295,"WIN-Taalcodes",
1296,"WIN-Infobronnen",
1297,"WIN-DNB sectoren",
1298,"WIN-Menu's",
1299,"WIN-Landen (ISO-code)",
1300,"WIN-Herkomstcodes",
1301,"br-calc. fiatt. (online)",
1302,"Geldsaldo S4",
1303,"Geblokkeerd geld S6",
1304,"Geblokkeerd geldbatches S8",
1305,"Dekkingswaarde S9",
1306,"Baisse posities S10",
1307,"Geblokkeerde stukken S12",
1308,"Lopende orders S16",
1309,"Verzamelorders S17",
1310,"Margin optie posities S18",
1311,"Obligo's S21",
1312,"Closing resultaat per pro S22",
1313,"Closing resultaat S23",
1314,"INV-Autorisatiecode",
1315,"SUB-Transactie specificat",
1316,"Begunstigde S2",
1317,"Verklaring S4",
1318,"Invoer tegenpartij gegeve S1",
1319,"SUB-STAM PrimaireTabellen",
1320,"SUB-DISP PrimaireTabellen",
1321,"SUB-RAPP PrimaireTabellen",
1322,"OND-Vertaling Tabelgegeve S1",
1323,"DISP-Vertaling Tabelgegev S3",
1324,"Modify/Display Relatie S1",
1325,"Modify/Display Relatie (M S2",
1326,"SUB-Beoordelingsfactoren S3",
1327,"Create Relatie S14",
1328,"STAM-Rel. SUB (Fisc.numme",
1329,"STAM-Rel. SUB (Belast.ver",
1330,"Display mode S1",
1331,"Korting per Type Beleg.in S2",
1332,"Stam_prov_kort_Modify S3",
1333,"Korting per Type Beleg.in S4",
1334,"Display mode S6",
1335,"Korting per Type Beleg.in S7",
1336,"Stam_prov_kort_Modify S8",
1337,"Korting per Type Beleg.in S9",
1338,"Invoer verzend clienten S1",
1339,"STAM-Rel. SUB (Rekeningen",
1340,"Bewaarplaatsen S6",
1341,"Stukken rek. S8",
1342,"Instructies S9",
1343,"FiRE codering S10",
1344,"Geldrekening detail S16",
1345,"Onderhoud renteafspraak S17",
1346,"Toekomstige renteafspraak S19",
1347,"Onderhoud Rapportage FiRE S23",
1348,"STAM-Rel. SUB (Servicepro",
1349,"STAM-Rel. SUB (Adviseurs)",
1350,"STAM-Rel. SUB (Coderingen",
1351,"Invoer relatiegegevens S1",
1352,"STAM-Rel. SUB (Corresp. g",
1353,"Volledige aanhef S8",
1354,"STAM-Rel. SUB (Settlem. g",
1355,"Display mode S1",
1356,"Modify mode S2",
1357,"'STAM-Rel. SUB (Provisie geg.)",
1358,"Modify rekening S5",
1359,"STAM-Rel. SUB (Vermogensb",
1360,"WIN-Kostprijsmethode S3",
1361,"STAM-Rel. SUB (Relatiestr",
1362,"STAM-Rel. SUB (Prof.clien",
1363,"Onderhoud/Display koppeli S1",
1364,"STAM-Rel. SUB (FR coderin",
1365,"STAM-Rel. SUB (Producten)",
1366,"STAM-Rel. SUB (NAW-Fiscus",
1367,"STAM-Rel. SUBR (Vruchtgeb",
1368,"Vrucht.Effectenrekeningen S1",
1369,"Vrucht Deposito rekeninge S3",
1370,"Vrucht Geldrekeningen S5",
1371,"STAM-Rel. SUBR (Producten",
1372,"cli-Transacties",
1373,"Zoek transactie S1",
1374,"Blokkeren_Menu S1",
1375,"Blokkeren geld S2",
1376,"Blokkeren stukken S5",
1377,"Per fonds S6",
1378,"Blokkeringen S1",
1379,"cli-Fiattering",
1380,"Display logicalnames S2",
1381,"cli-Openstaande posten(se S1",
1382,"Mutaties openstaande post S2",
1383,"cli-Openstaande posten(se S3",
1384,"Mutaties openstaande post S4",
1385,"Transacties per Open.Post S5",
1386,"Toetsing portefeuille rel S1",
1387,"Toetsing portefeuille pro S4",
1388,"cli-Obligo's",
1389,"cli-Blokkeren posities",
1390,"Depots per fonds S1",
1391,"cli-Select bewaarplaats/d",
1392,"Selectie product S2",
1393,"Menu S2",
1394,"Portefeuille overzicht Ct S3",
1395,"Totaal portefeuille S5",
1396,"Zoek Fonds S6",
1397,"Contactdetails S7",
1398,"Zoek String S8",
1399,"Toon resultaat S9",
1400,"Portfll overz(Product) S11",
1401,"Totaal portefeuille S15",
1402,"Zoek Fonds S16",
1403,"Contactdetails S17",
1404,"Zoek String S18",
1405,"Toon resultaat S19",
1406,"Depot overzicht S20",
1407,"Fondsen Ctrl-Q S22",
1408,"Totaal Depot S23",
