Program ISN,Program #,Task,Name,Expr #,Expression
251,,".1.2","Betalingen IN/OUT",57,"CndRange(v_EtE_Referentie_T/m<>Fill('Z',Len(v_EtE_Referentie_T/m)),v_EtE_Referentie_T/m)"
251,,".1.2","Betalingen IN/OUT",59,"CndRange(v_D_BIC_T/m<>Fill('Z',Len(v_D_BIC_T/m)),v_D_BIC_T/m)"
251,,".1.2","Betalingen IN/OUT",61,"CndRange(v_D_IBAN_T/m<>Fill('Z',Len(v_D_IBAN_T/m)),v_D_IBAN_T/m)"
251,,".1.2","Betalingen IN/OUT",67,"CndRange(v_C_Bank_BIC_T/m<>Fill('Z',Len(v_C_Bank_BIC_T/m)),v_C_Bank_BIC_T/m)"
251,,".1.2","Betalingen IN/OUT",69,"CndRange(v_TransactionId_T/m<>Fill('Z',Len(v_TransactionId_T/m)),v_TransactionId_T/m)"
251,,".1.2","Betalingen IN/OUT",71,"CndRange(v_Invoer_Adviseur_T/m<>Fill('Z',Len(v_Invoer_Adviseur_T/m)),v_Invoer_Adviseur_T/m)"
251,,".1.2","Betalingen IN/OUT",77,"CndRange(v_C_IBAN_T/m<>Fill('Z',Len(v_C_IBAN_T/m)),v_C_IBAN_T/m)"
251,,".1.3","SetVerwerkVerwijderSelectie",11,"CndRange(v_D_IBAN_T/m<>Fill('Z',Len(v_D_IBAN_T/m)),v_D_IBAN_T/m)"
251,,".1.3","SetVerwerkVerwijderSelectie",17,"CndRange(v_C_Bank_BIC_T/m<>Fill('Z',Len(v_C_Bank_BIC_T/m)),v_C_Bank_BIC_T/m)"
251,,".1.3","SetVerwerkVerwijderSelectie",19,"CndRange(v_C_IBAN_T/m<>Fill('Z',Len(v_C_IBAN_T/m)),v_C_IBAN_T/m)"
251,,".1.3","SetVerwerkVerwijderSelectie",29,"CndRange(v_TransactionId_T/m<>Fill('Z',Len(v_TransactionId_T/m)),v_TransactionId_T/m)"
