ProgramIsn,Tasknum,Taskname,WhereClause
37,".1","Controle selectie","rownum <=1"
38,".1","Controle selectie","rownum <=1"
39,".1","Controle selectie","rownum <=1"
114,".1","Spaarvorm gekoppeld?","rownum <=1"
114,".3","Renteschaal gekoppeld?","rownum <=1"
122,"","SUB-Zoek GroupID","BE_MUTATION_VALIDATIONS.MUVA_VALIDATE_DATE is null and rownum<=1"
162,".1","Controle selectie","rownum <=1"
192,".1","Check product selection","rownum <=1"
215,".3","TVRR Record aanwezig?","rownum <=1"
