ProgramIsn,Tasknum,Taskname,WhereClause
61,".2","Depotrekening in Producten?","rownum<=1"
64,".2.1","Positie aanwezig?","rownum<=1"
64,".3.1","Positie aanwezig?","rownum<=1"
127,".2.1.1","Doorloop opties","(BELEGGINGSINSTRUMENT.BE_MUNTSOORT = PRODUCTCONVERSIE_MUNT_KOERSEN.CAMK_MUNTSOORT OR BELEGGINGSINSTRUMENT.BE_MUNTSOORT = PRODUCTCONVERSIE_MUNT_KOERSEN.CAMK_MUNTSOORT) AND Rownum <=1"
127,".5","Splitsrel. ActPositie?","AKTUELE_POSITIES_VW.AP_SALDO_POSITIE <> 0 and rownum <=1"
135,".1","Controle gebruik conv.soort","rownum<=1"
135,".1.1","Transacties","rownum<=1"
233,".1","Check status 3/4","rownum<=1"
410,".1","Check status 3/4","rownum<=1"
