Program ISN,Program #,Task,Name,Operation #,Table #,Field #,Field Name
672137318,,".1","XML VERWERKING",4,Comp.,"D1.XML_VERWERKING",Comp.,"Unknown"
672137318,,".1.1.1.5.1","XML owner (via PPRId)",53,Comp.,"D5.CONTRACT_BASE",Comp.,"Unknown"
672137318,,".1.1.1.5.1","XML owner (via PPRId)",55,Comp.,"D5.CONTRACT_BASE",Comp.,"Unknown"
672137318,,".1.1.1.5.3","XML owner (via account)",49,Comp.,"D5.CONTRACT_BASE",Comp.,"Unknown"
672137318,,".1.1.1.5.3","XML owner (via account)",51,Comp.,"D5.CONTRACT_BASE",Comp.,"Unknown"
672137318,,".1.1.1.5.6","XML owner (via aanvraag)",53,Comp.,"D5.CONTRACT_BASE",Comp.,"Unknown"
672137318,,".1.1.1.5.6","XML owner (via aanvraag)",55,Comp.,"D5.CONTRACT_BASE",Comp.,"Unknown"
672137318,,".1.1.1.36","XML Transactions",10,Comp.,"D7.TRANSAKTIES",Comp.,"Unknown"
672137318,,".1.1.1.36","XML Transactions",13,Comp.,"D7.TRANSAKTIES",Comp.,"Unknown"
